,storenum,store,region,latitude,longitude,address,city,state,zip,geostate,geocounty,year,month,day,sku,size,product_name,units,price
0,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,12,8,Vanilla 16OZ,16OZ,Vanilla,18,13.99
1,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,4,28,Vanilla 16OZ,12OZ,Vanilla,18,13.99
2,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,4,21,Vanilla 16OZ,12OZ,Vanilla,36,13.99
3,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,2,17,Vanilla 16OZ,12OZ,Vanilla,18,13.99
4,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,12,15,Vanilla 16OZ,16OZ,Vanilla,18,11.99
5,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,11,10,Vanilla 16OZ,12OZ,Vanilla,18,13.99
6,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,5,12,Vanilla 16OZ,16OZ,Vanilla,18,13.99
7,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,9,29,Vanilla 16OZ,12OZ,Vanilla,18,13.99
8,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,9,22,Vanilla 16OZ,12OZ,Vanilla,18,13.99
9,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,7,7,Vanilla 16OZ,12OZ,Vanilla,18,13.99
10,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,3,31,Vanilla 16OZ,12OZ,Vanilla,18,11.99
11,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,10,20,Chocolate 16OZ,12OZ,Chocolate,36,13.99
12,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,5,12,Chocolate 16OZ,12OZ,Chocolate,18,13.99
13,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,2,17,Chocolate 16OZ,16OZ,Chocolate,36,13.99
14,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,11,3,Chocolate 16OZ,12OZ,Chocolate,18,13.99
15,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,8,18,Chocolate 16OZ,16OZ,Chocolate,18,13.99
16,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,11,3,Chocolate 16OZ,12OZ,Chocolate,18,13.99
17,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,7,14,Chocolate 16OZ,12OZ,Chocolate,18,13.99
18,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,9,8,Chocolate 16OZ,12OZ,Chocolate,18,13.99
19,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,5,12,Chocolate 16OZ,12OZ,Chocolate,18,11.99
20,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,11,10,Chocolate 16OZ,16OZ,Chocolate,18,11.99
21,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,8,18,Chocolate 16OZ,16OZ,Chocolate,18,13.99
22,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,4,21,Chocolate 16OZ,12OZ,Chocolate,18,13.99
23,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,4,28,Chocolate 16OZ,12OZ,Chocolate,54,13.99
24,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,11,3,Chocolate 16OZ,12OZ,Chocolate,18,13.99
25,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,3,10,Chocolate 16OZ,12OZ,Chocolate,-18,13.99
26,10012,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA, NULL,0400000US06,0500000US06037,2014,11,3,Chocolate 16OZ,12OZ,Chocolate,18,
