Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,1,2,3,4,5,6
,,,Gourmet Garage E 64th St 4pm-7pm SABRINA,Fairway Nanuet 3pm-6pm MIRUS / Red Rolling Pin 5pm – 8pm MIRUS,"WFM Lynnfield 4pm-7pm MIRUS/ Eli’s Manhattan 2pm-5pm JOY/ WFM Cranston, RI 4pm-7pm MIRUS",Depanneur 12pm-3pm JOY / Tribeca WFM 4pm-7pm SABRINA
7,8,9,10,11,12,13
,Gourmet Garage West Village 5pm-8pm ,,WFM UWS 4pm-7pm AMANDA/ WFM Chelsea 4pm-7pm MIRUS,WFM Union Square 4pm-7pm JOY / WFM River St. MIRUS / WFM Tanasbourne 4pm-7pm MIRUS,"West Elm Broadway 1pm-4pm DANIELLE / WFM Portland, ME MIRUS / WFM Redmond (PNW) 3pm-6pm MIRUS",Union Market (Houston) 4pm-7pm JOY/ WFM Dedham 3pm-6pm MIRUS
14,15,16,17,18,19,20
,,,WFM Chelsea 4pm-7pm JOY/ WFM Hollywood 4pm-7pm MIRUS,"WFM Roosevelt Square (PNW) 4pm-7pm / WFM UWS 4pm-7pm AMANDA / TFM Newport News, 4pm-7pm / TFM Williamsburg 12pm-3pm",Union Market (Court St.) 2pm-5pm DANIELLE / Union Market (Union St.) 12pm-3pm / TFM Coconut Grove 11am-2pm / TFM Pembroke Pines 2pm-5pm ,
21,22,23,24,25,26,27
,Gourmet Garage West Village 5pm-8pm,,WFM Tanasbourne 4pm-7pm MIRUS / WFM Tribeca 4pm-7pm JOY,"WFM Union Sq 4pm-7pm AMANDA/ WFM River St. 4pm-7pm / WFM Dedham 4pm-7pm / TFM Aventura 4pm-7pm / TFM Stuart, 4pm-7pm","WFM Lynnwood (PNW) 12pm-3pm / WFM Chelsea 3pm-6pm / TFM Tampa, 2pm-5pm / TFM St. Petersburg, 2pm-5pm / TFM Virginia Beach, 3pm-6pm","Union Market 7th Ave 3pm-6pm / WFM Fresh Pond 3pm-6pm MIRUS / TFM Midlothian, 12pm-3pm / TFM Richmond, 4pm-7pm"
28,29,30,,,,
Union Market (Houston) 4pm-7pm,WFM Hollywood 4pm-7pm / WFM Brighton 4pm-7pm MIRUS,,,,,
