Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,1,2,3
,,,,,Luke’s Drug Mart 1pm-4pm ,Fairway Red Hook 12pm-3pm
4,5,6,7,8,9,10
,,,,,"Bantam Market 1pm-4pm / Volta Market 6pm-9pm / BB&B Farmington Hills, 61st St. 12pm-4pm / Williams-Sonoma King of Prussia 12pm-3pm","WFM Darien 3pm-7pm / Woodstock Farmer’s Market 12pm-4pm / BB&B Woodbridge, Tysons Corner, West LA 12pm-4pm"
11,12,13,14,15,16,17
"Southern Season Richmond, VA 6pm-9pm",,,,,Williams-Sonoma 59th St 2:30pm – 5:30pm,"Salazon Chocolate 12pm-3pm / TFM Raleigh, NC 3pm-6pm"
18,19,20,21,22,23,24
,"TFM Greensboro, NC 2pm-5pm",,,Vintage on 4th 5pm-8pm,Southern Season Chapel Hill 12pm-3pm / Williams-Sonoma Salt Lake City 1pm-4pm,WFM Nashua 2:30 pm – 6:30pm / Williams-Sonoma San Fran CA 2pm-5pm
25,26,27,28,29,30,31
“local night” WFM Melrose 4pm-7pm,,,"“local night” WFM West Hartford 3pm-6pm / WFM Darien, CT 11am-3pm",,"BB&B East Hanover, 61st St 12pm-4pm / TFM Savannah, GA 1pm-4pm",BB&B West LA 12pm-4pm
