Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,,,,,,1
,,,,,,Depanneur 12pm – 3pm (Jennie? Maria?)
2,3,4,5,6,7,8
,,"Gourmet Garage Park Ave 4pm – 7pm (Melissa, Mirus)",,"Gourmet Garage SoHo (Melissa, Mirus)","Whole Foods Tribeca (Amanda, Mirus)",Nolita Mart 2pm-4pm
9,10,11,12,13,14,15
,,Fairway 86th St 3pm – 6pm (Mirus?),Whole Foods Tribeca (Harmony 4pm-7pm),,,
16,17,18,19,20,21,22
,,,Gourmet Garage Park Ave  4pm-7pm),Gourmet Garage SoHo (Harmony 4pm-7pm),Whole Foods Tribeca (Calli 4pm-7pm),Fairway Red Hook 2pm – 5pm (Mirus?)
23,24,25,26,27,28,
West Elm Broadway 1pm-4pm,,,,Green Grape Provisions demo (5pm-8pm),,
