Month,Date,Day,Info
1,1,Wednesday,
1,2,Thursday,
1,3,Friday,
1,4,Saturday,
1,5,Sunday,
1,6,Monday,
1,7,Tuesday,
1,8,Wednesday,
1,9,Thursday,
1,10,Friday,
1,11,Saturday,
1,12,Sunday,
1,13,Monday,
1,14,Tuesday,
1,15,Wednesday,
1,16,Thursday,Whole Foods Tribeca (Calli 4pm-7pm)
1,17,Friday,
1,18,Saturday,
1,19,Sunday,
1,20,Monday,
1,21,Tuesday,
1,22,Wednesday,
1,23,Thursday,
1,24,Friday,Whole Foods Tribeca (Calli 4pm-7pm)
1,25,Saturday,
1,26,Sunday,
1,27,Monday,
1,28,Tuesday,
1,29,Wednesday,Gourmet Garage SoHo (Calli 4pm-7pm)
1,30,Thursday,Whole Foods Tribeca (Calli 4pm-7pm)
1,31,Friday,
2,1,Saturday,Depanneur 12pm  3pm (Jennie? Maria?)
2,2,Sunday,
2,3,Monday,
2,4,Tuesday,"Gourmet Garage Park Ave 4pm  7pm (Melissa, Mirus)"
2,5,Wednesday,
2,6,Thursday,"Gourmet Garage SoHo (Melissa, Mirus)"
2,7,Friday,"Whole Foods Tribeca (Amanda, Mirus)"
2,8,Saturday,Nolita Mart 2pm-4pm
2,9,Sunday,
2,10,Monday,
2,11,Tuesday,Fairway 86th St 3pm  6pm (Mirus?)
2,12,Wednesday,Whole Foods Tribeca (Harmony 4pm-7pm)
2,13,Thursday,
2,14,Friday,
2,15,Saturday,
2,16,Sunday,
2,17,Monday,
2,18,Tuesday,
2,19,Wednesday,Gourmet Garage Park Ave  4pm-7pm)
2,20,Thursday,Gourmet Garage SoHo (Harmony 4pm-7pm)
2,21,Friday,Whole Foods Tribeca (Calli 4pm-7pm)
2,22,Saturday,Fairway Red Hook 2pm  5pm (Mirus?)
2,23,Sunday,West Elm Broadway 1pm-4pm
2,24,Monday,
2,25,Tuesday,
2,26,Wednesday,
2,27,Thursday,Green Grape Provisions demo (5pm-8pm)
2,28,Friday,
3,1,Saturday,West Elm Broadway 1pm-4pm
3,2,Sunday,West Elm Dumbo 2pm  5pm
3,3,Monday,
3,4,Tuesday,
3,5,Wednesday,
3,6,Thursday,Fairway 86th St 3pm-6pm (Harmony)
3,7,Friday,
3,8,Saturday,
3,9,Sunday,Fairway Kips Bay (Harmony) 3pm-6pm
3,10,Monday,
3,11,Tuesday,
3,12,Wednesday,
3,13,Thursday,
3,14,Friday,Whole Foods Gowanus 4pm-7pm
3,15,Saturday,Fairway Woodland Park 12pm-3pm
3,15,Saturday,Greene Grape Annex 5pm-8pm
3,16,Sunday,Fairway Red Hook (Harmony) 2pm-5pm
3,17,Monday,
3,18,Tuesday,
3,19,Wednesday,
3,20,Thursday,Gourmet Garage E 64th St (4pm-7pm)
3,21,Friday,Elis Manhattan 4pm-7pm
3,22,Saturday,Fairway Nanuet 3pm-6pm
3,22,Saturday,Nolita Mart 1pm-3pm
3,23,Sunday,West Elm Dumbo 2pm  5pm (Harmony)
3,23,Sunday,WFM Melrose 12pm-3pm
3,24,Monday,
3,25,Tuesday,
3,26,Wednesday,
3,27,Thursday,Fairway Westbury 3pm  6pm
3,28,Friday,Whole Foods Gowanus Demo 4pm-7pm
3,28,Friday,Art of the Table4pm-7pm
3,29,Saturday,Fairway Red Hook 2pm-5pm
3,29,Saturday,Fairway Woodland Park 12pm-3pm
3,30,Sunday,Fairway Kips Bay 3pm-6pm (Harmony)
3,31,Monday,
4,1,Tuesday,
4,2,Wednesday,
4,3,Thursday,Gourmet Garage E 64th St 4pm-7pm SABRINA
4,4,Friday,Fairway Nanuet 3pm-6pm MIRUS
4,4,Friday,Red Rolling Pin 5pm  8pm MIRUS
4,5,Saturday,WFM Lynnfield 4pm-7pm MIRUS
4,5,Saturday,Elis Manhattan 2pm-5pm JOY
4,5,Saturday,"WFM Cranston, RI 4pm-7pm MIRUS"
4,6,Sunday,Depanneur 12pm-3pm JOY
4,6,Sunday,Tribeca WFM 4pm-7pm SABRINA
4,7,Monday,
4,8,Tuesday,Gourmet Garage West Village 5pm-8pm
4,9,Wednesday,
4,10,Thursday,WFM UWS 4pm-7pm AMANDA
4,10,Thursday,WFM Chelsea 4pm-7pm MIRUS
4,11,Friday,WFM Union Square 4pm-7pm JOY
4,11,Friday,WFM River St. MIRUS
4,11,Friday,WFM Tanasbourne 4pm-7pm MIRUS
4,12,Saturday,West Elm Broadway 1pm-4pm DANIELLE
4,12,Saturday,"WFM Portland, ME MIRUS"
4,12,Saturday,WFM Redmond (PNW) 3pm-6pm MIRUS
4,13,Sunday,Union Market (Houston) 4pm-7pm JOY
4,13,Sunday,WFM Dedham 3pm-6pm MIRUS
4,14,Monday,
4,15,Tuesday,
4,16,Wednesday,
4,17,Thursday,WFM Chelsea 4pm-7pm JOY
4,17,Thursday,WFM Hollywood 4pm-7pm MIRUS
4,18,Friday,WFM Roosevelt Square (PNW) 4pm-7pm
4,18,Friday,WFM UWS 4pm-7pm AMANDA
4,18,Friday,"TFM Newport News, 4pm-7pm"
4,18,Friday,TFM Williamsburg 12pm-3pm
4,19,Saturday,Union Market (Court St.) 2pm-5pm DANIELLE
4,19,Saturday,Union Market (Union St.) 12pm-3pm
4,19,Saturday,TFM Coconut Grove 11am-2pm
4,19,Saturday,TFM Pembroke Pines 2pm-5pm
4,20,Sunday,
4,21,Monday,
4,22,Tuesday,Gourmet Garage West Village 5pm-8pm
4,23,Wednesday,
4,24,Thursday,WFM Tanasbourne 4pm-7pm MIRUS
4,24,Thursday,WFM Tribeca 4pm-7pm JOY
4,25,Friday,WFM Union Sq 4pm-7pm AMANDA
4,25,Friday,WFM River St. 4pm-7pm
4,25,Friday,WFM Dedham 4pm-7pm
4,25,Friday,TFM Aventura 4pm-7pm
4,25,Friday,"TFM Stuart, 4pm-7pm"
4,26,Saturday,WFM Lynnwood (PNW) 12pm-3pm
4,26,Saturday,WFM Chelsea 3pm-6pm
4,26,Saturday,"TFM Tampa, 2pm-5pm"
4,26,Saturday,"TFM St. Petersburg, 2pm-5pm"
4,26,Saturday,"TFM Virginia Beach, 3pm-6pm"
4,27,Sunday,Union Market 7th Ave 3pm-6pm
4,27,Sunday,WFM Fresh Pond 3pm-6pm MIRUS
4,27,Sunday,"TFM Midlothian, 12pm-3pm"
4,27,Sunday,"TFM Richmond, 4pm-7pm"
4,28,Monday,Union Market (Houston) 4pm-7pm
4,29,Tuesday,WFM Hollywood 4pm-7pm
4,29,Tuesday,WFM Brighton 4pm-7pm MIRUS
4,30,Wednesday,
5,1,Thursday,
5,2,Friday,"WFM Roosevelt Square (PNW), 4pm-7pm"
5,2,Friday,"TFM Sarasota, FL 1pm-4pm"
5,2,Friday,"TFM Wilmette, IL 4pm-7pm"
5,3,Saturday,"Southern Season Chapel Hill, 3pm-6pm"
5,3,Saturday,WFM University Heights 2pm-5pm
5,3,Saturday,TFM Boca Raton 12pm-3pm
5,3,Saturday,TFM Boca Raton (2) 4pm-7pm
5,3,Saturday,"Vintage on 4th, CA 5:30pm-8:30pm"
5,4,Sunday,"WFM Bridgeport, 1pm-4pm"
5,5,Monday,
5,6,Tuesday,Gourmet Garage West Village 3pm-6pm
5,7,Wednesday,
5,8,Thursday,Gourmet Garage Soho 3pm-6pm GWEN
5,9,Friday,"WFM Brighton, 4pm-7pm"
5,9,Friday,"TFM New Orleans, LA 4pm-7pm"
5,9,Friday,"Macys Chicago, IL 4pm-7pm"
5,9,Friday,"TFM Lafayette, LA 3pm-6pm"
5,10,Saturday,"Fairway Red Hook, 3pm-6pm AMANDA M"
5,10,Saturday,"TFM Mandeville, LA 11am-3pm"
5,10,Saturday,TFM Hilton Head 2pm-6pm
5,10,Saturday,"TFM Towson, MD 12pm-4pm"
5,11,Sunday,Fairway Chelsea 3pm-6pm DANIELLE
5,11,Sunday,Gourmet Garage Soho 1pm-4pm AMANDA M
5,12,Monday,
5,13,Tuesday,
5,14,Wednesday,
5,15,Thursday,
5,16,Friday,"WFM Fresh Pond, 4pm-7pm"
5,17,Saturday,Fairway Harlem 3pm-6pm
5,17,Saturday,"TFM Latham, NY 1pm-4pm"
5,18,Sunday,"TFM Ft. Lauderdale, 12pm-3pm"
5,19,Monday,
5,20,Tuesday,
5,21,Wednesday,
5,22,Thursday,
5,23,Friday,
5,24,Saturday,"WFM Newton, 2pm-5pm (tentative)"
5,24,Saturday,BYOB Cocktail Emporium (Toronto)  1pm-4pm
5,24,Saturday,"Plum Market, 12pm-4pm"
