,info,wfm,wfm_year,wfm_month,wfm_day,act_year,act_month,act_day,day_of_week
0,,False,NULL,NULL,NULL,2014,1,1,Wednesday
1,,False,NULL,NULL,NULL,2014,1,2,Thursday
2,,False,NULL,NULL,NULL,2014,1,3,Friday
3,,False,NULL,NULL,NULL,2014,1,4,Saturday
4,,False,NULL,NULL,NULL,2014,1,5,Sunday
5,,False,NULL,NULL,NULL,2014,1,6,Monday
6,,False,NULL,NULL,NULL,2014,1,7,Tuesday
7,,False,NULL,NULL,NULL,2014,1,8,Wednesday
8,,False,NULL,NULL,NULL,2014,1,9,Thursday
9,,False,NULL,NULL,NULL,2014,1,10,Friday
10,,False,NULL,NULL,NULL,2014,1,11,Saturday
11,,False,NULL,NULL,NULL,2014,1,12,Sunday
12,,False,NULL,NULL,NULL,2014,1,13,Monday
13,,False,NULL,NULL,NULL,2014,1,14,Tuesday
14,,False,NULL,NULL,NULL,2014,1,15,Wednesday
15,Whole Foods Tribeca (Calli 4pm-7pm),True,2014,1,13,2014,1,16,Thursday
16,,False,NULL,NULL,NULL,2014,1,17,Friday
17,,False,NULL,NULL,NULL,2014,1,18,Saturday
18,,False,NULL,NULL,NULL,2014,1,19,Sunday
19,,False,NULL,NULL,NULL,2014,1,20,Monday
20,,False,NULL,NULL,NULL,2014,1,21,Tuesday
21,,False,NULL,NULL,NULL,2014,1,22,Wednesday
22,,False,NULL,NULL,NULL,2014,1,23,Thursday
23,Whole Foods Tribeca (Calli 4pm-7pm),True,2014,1,20,2014,1,24,Friday
24,,False,NULL,NULL,NULL,2014,1,25,Saturday
25,,False,NULL,NULL,NULL,2014,1,26,Sunday
26,,False,NULL,NULL,NULL,2014,1,27,Monday
27,,False,NULL,NULL,NULL,2014,1,28,Tuesday
28,Gourmet Garage SoHo (Calli 4pm-7pm),False,NULL,NULL,NULL,2014,1,29,Wednesday
29,Whole Foods Tribeca (Calli 4pm-7pm),True,2014,1,27,2014,1,30,Thursday
30,,False,NULL,NULL,NULL,2014,1,31,Friday
31,Depanneur 12pm  3pm (Jennie? Maria?),False,NULL,NULL,NULL,2014,2,1,Saturday
32,,False,NULL,NULL,NULL,2014,2,2,Sunday
33,,False,NULL,NULL,NULL,2014,2,3,Monday
34,"Gourmet Garage Park Ave 4pm  7pm (Melissa, Mirus)",False,NULL,NULL,NULL,2014,2,4,Tuesday
35,,False,NULL,NULL,NULL,2014,2,5,Wednesday
36,"Gourmet Garage SoHo (Melissa, Mirus)",False,NULL,NULL,NULL,2014,2,6,Thursday
37,"Whole Foods Tribeca (Amanda, Mirus)",True,2014,2,3,2014,2,7,Friday
38,Nolita Mart 2pm-4pm,False,NULL,NULL,NULL,2014,2,8,Saturday
39,,False,NULL,NULL,NULL,2014,2,9,Sunday
40,,False,NULL,NULL,NULL,2014,2,10,Monday
41,Fairway 86th St 3pm  6pm (Mirus?),False,NULL,NULL,NULL,2014,2,11,Tuesday
42,Whole Foods Tribeca (Harmony 4pm-7pm),True,2014,2,10,2014,2,12,Wednesday
43,,False,NULL,NULL,NULL,2014,2,13,Thursday
44,,False,NULL,NULL,NULL,2014,2,14,Friday
45,,False,NULL,NULL,NULL,2014,2,15,Saturday
46,,False,NULL,NULL,NULL,2014,2,16,Sunday
47,,False,NULL,NULL,NULL,2014,2,17,Monday
48,,False,NULL,NULL,NULL,2014,2,18,Tuesday
49,Gourmet Garage Park Ave  4pm-7pm),False,NULL,NULL,NULL,2014,2,19,Wednesday
50,Gourmet Garage SoHo (Harmony 4pm-7pm),False,NULL,NULL,NULL,2014,2,20,Thursday
51,Whole Foods Tribeca (Calli 4pm-7pm),True,2014,2,17,2014,2,21,Friday
52,Fairway Red Hook 2pm  5pm (Mirus?),False,NULL,NULL,NULL,2014,2,22,Saturday
53,West Elm Broadway 1pm-4pm,False,NULL,NULL,NULL,2014,2,23,Sunday
54,,False,NULL,NULL,NULL,2014,2,24,Monday
55,,False,NULL,NULL,NULL,2014,2,25,Tuesday
56,,False,NULL,NULL,NULL,2014,2,26,Wednesday
57,Green Grape Provisions demo (5pm-8pm),False,NULL,NULL,NULL,2014,2,27,Thursday
58,,False,NULL,NULL,NULL,2014,2,28,Friday
59,West Elm Broadway 1pm-4pm,False,NULL,NULL,NULL,2014,3,1,Saturday
60,West Elm Dumbo 2pm  5pm,False,NULL,NULL,NULL,2014,3,2,Sunday
61,,False,NULL,NULL,NULL,2014,3,3,Monday
62,,False,NULL,NULL,NULL,2014,3,4,Tuesday
63,,False,NULL,NULL,NULL,2014,3,5,Wednesday
64,Fairway 86th St 3pm-6pm (Harmony),False,NULL,NULL,NULL,2014,3,6,Thursday
65,,False,NULL,NULL,NULL,2014,3,7,Friday
66,,False,NULL,NULL,NULL,2014,3,8,Saturday
67,Fairway Kips Bay (Harmony) 3pm-6pm,False,NULL,NULL,NULL,2014,3,9,Sunday
68,,False,NULL,NULL,NULL,2014,3,10,Monday
69,,False,NULL,NULL,NULL,2014,3,11,Tuesday
70,,False,NULL,NULL,NULL,2014,3,12,Wednesday
71,,False,NULL,NULL,NULL,2014,3,13,Thursday
72,Whole Foods Gowanus 4pm-7pm,True,2014,3,10,2014,3,14,Friday
73,Fairway Woodland Park 12pm-3pm,False,NULL,NULL,NULL,2014,3,15,Saturday
74,Fairway Red Hook (Harmony) 2pm-5pm,False,NULL,NULL,NULL,2014,3,16,Sunday
75,,False,NULL,NULL,NULL,2014,3,17,Monday
76,,False,NULL,NULL,NULL,2014,3,18,Tuesday
77,,False,NULL,NULL,NULL,2014,3,19,Wednesday
78,Gourmet Garage E 64th St (4pm-7pm),False,NULL,NULL,NULL,2014,3,20,Thursday
79,Elis Manhattan 4pm-7pm,False,NULL,NULL,NULL,2014,3,21,Friday
80,Fairway Nanuet 3pm-6pm,False,NULL,NULL,NULL,2014,3,22,Saturday
81,West Elm Dumbo 2pm  5pm (Harmony),False,NULL,NULL,NULL,2014,3,23,Sunday
82,,False,NULL,NULL,NULL,2014,3,24,Monday
83,,False,NULL,NULL,NULL,2014,3,25,Tuesday
84,,False,NULL,NULL,NULL,2014,3,26,Wednesday
85,Fairway Westbury 3pm  6pm,False,NULL,NULL,NULL,2014,3,27,Thursday
86,Whole Foods Gowanus Demo 4pm-7pm,True,2014,3,24,2014,3,28,Friday
87,Fairway Red Hook 2pm-5pm,False,NULL,NULL,NULL,2014,3,29,Saturday
88,Fairway Kips Bay 3pm-6pm (Harmony),False,NULL,NULL,NULL,2014,3,30,Sunday
89,,False,NULL,NULL,NULL,2014,3,31,Monday
90,,False,NULL,NULL,NULL,2014,4,1,Tuesday
91,,False,NULL,NULL,NULL,2014,4,2,Wednesday
92,Gourmet Garage E 64th St 4pm-7pm SABRINA,False,NULL,NULL,NULL,2014,4,3,Thursday
93,Fairway Nanuet 3pm-6pm MIRUS,False,NULL,NULL,NULL,2014,4,4,Friday
94,WFM Lynnfield 4pm-7pm MIRUS,True,2014,3,31,2014,4,5,Saturday
95,Depanneur 12pm-3pm JOY,False,NULL,NULL,NULL,2014,4,6,Sunday
96,,False,NULL,NULL,NULL,2014,4,7,Monday
97,Gourmet Garage West Village 5pm-8pm,False,NULL,NULL,NULL,2014,4,8,Tuesday
98,,False,NULL,NULL,NULL,2014,4,9,Wednesday
99,WFM UWS 4pm-7pm AMANDA,True,2014,4,7,2014,4,10,Thursday
100,WFM Union Square 4pm-7pm JOY,True,2014,4,7,2014,4,11,Friday
101,West Elm Broadway 1pm-4pm DANIELLE,False,NULL,NULL,NULL,2014,4,12,Saturday
102,Union Market (Houston) 4pm-7pm JOY,False,NULL,NULL,NULL,2014,4,13,Sunday
103,,False,NULL,NULL,NULL,2014,4,14,Monday
